x,y,z,buried
3.2,0,-9.35,1
3.2,0,-9.046,1
3.2,0,-8.741,1
3.2,0,-8.437,1
3.2,0,-8.132,1
3.2,0,-7.828,1
3.2,0,-7.523,1
3.2,0,-7.219,1
3.2,0,-6.914,1
3.2,0,-6.61,1
3.2,0,-6.305,1
0,0,-9.35,1
0,0,-9.046,1
0,0,-8.741,1
0,0,-8.437,1
0,0,-8.132,1
0,0,-7.828,1
0,0,-7.523,1
0,0,-7.219,1
0,0,-6.914,1
0,0,-6.61,1
0,0,-6.305,1
3.2,0,-6.001,1
3.2,0,-5.696,1
3.2,0,-5.392,1
3.2,0,-5.087,1
3.2,0,-4.783,1
3.2,0,-4.478,1
3.2,0,-4.174,1
3.2,0,-3.869,1
3.2,0,-3.565,1
3.2,0,-3.26,1
0,0,-6.001,1
0,0,-5.696,1
0,0,-5.392,1
0,0,-5.087,1
0,0,-4.783,1
0,0,-4.478,1
0,0,-4.174,1