,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch
,Mixed / non conventional,0.00,3.00,1.00,2.00,18.43,5.68,4.75,122.950,41.906,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,6,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.5,8/2/2022 10:19:18 AM,0,1
,Mixed / non conventional,1.00,4.00,2.00,3.00,16.56,4.86,-153.67,115.721,43.919,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,6,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.0,8/2/2022 10:19:23 AM,0,1
,Mixed / non conventional,2.00,5.00,3.00,4.00,15.61,3.91,-6.71,114.498,46.076,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,6,0.000,1,0,0.030,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:29 AM,0,1
,Mixed / non conventional,3.00,6.00,4.00,5.00,16.32,7.84,146.23,110.636,42.599,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,6,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:34 AM,0,1
,Mixed / non conventional,4.00,7.00,5.00,6.00,17.56,5.09,-55.89,124.079,44.389,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,6,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,25.0,8/2/2022 10:19:39 AM,0,1
,Mixed / non conventional,5.00,8.00,6.00,7.00,10.69,1.71,127.89,91.432,53.733,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.024,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:44 AM,0,1
,Mixed / non conventional,6.00,9.00,7.00,8.00,91.88,2.96,-429.28,807.742,55.237,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,6,0.000,2,0,0.030,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:50 AM,0,1
,Mixed / non conventional,7.00,10.00,8.00,9.00,0.02,0.36,-0.27,7.258,2274.817,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,3,0.000,49,112,0.022,00.000000,00.000000,,22080202,1,0,10.91,0.0,12.41,25.0,8/2/2022 10:19:53 AM,0,1
,Mixed / non conventional,8.00,11.00,9.00,10.00,64.89,4.28,316.15,523.651,50.702,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,6,0.000,1,0,0.026,00.000000,00.000000,,22080202,1,0,12.04,0.0,12.41,25.5,8/2/2022 10:19:59 AM,0,1
,Mixed / non conventional,9.00,12.00,10.00,11.00,10.25,6.94,-102.60,12.785,7.837,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,6,0.000,4,0,0.571,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:04 AM,0,1
,Mixed / non conventional,10.00,13.00,11.00,12.00,25.88,9.02,50.59,13.373,3.247,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,14,12,13,0.00,0.00,0.00,0.00,6,0.000,5,0,1.406,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.5,8/2/2022 10:20:09 AM,0,1
,Mixed / non conventional,11.00,14.00,12.00,13.00,354.16,6.58,120.44,16.832,0.299,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,15,13,14,0.00,0.00,0.00,0.00,6,0.000,5,0,17.433,00.000000,00.000000,,22080202,1,0,12.16,0.0,12.41,25.5,8/2/2022 10:20:15 AM,0,1
,Mixed / non conventional,12.00,15.00,13.00,14.00,14483.37,2.48,-179.81,124.521,0.054,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13,16,14,15,0.00,0.00,0.00,0.00,6,0.000,3,0,63.056,00.000000,00.000000,,22080202,1,0,12.16,0.0,12.41,25.0,8/2/2022 10:20:20 AM,0,1
,Mixed / non conventional,0.00,6.00,2.00,4.00,8.74,3.56,-141.35,28.718,41.307,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,7,3,5,0.00,0.00,0.00,0.00,6,0.000,1,0,0.036,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.5,8/2/2022 10:20:25 AM,0,1
,Mixed / non conventional,1.00,7.00,3.00,5.00,7.96,4.50,120.63,27.373,43.197,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,8,4,6,0.00,0.00,0.00,0.00,6,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:30 AM,0,1
,Mixed / non conventional,2.00,8.00,4.00,6.00,7.17,2.37,19.81,28.681,50.249,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,9,5,7,0.00,0.00,0.00,0.00,6,0.000,1,0,0.027,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,25.5,8/2/2022 10:20:36 AM,0,1
,Mixed / non conventional,3.00,9.00,5.00,7.00,14.89,3.40,-145.32,58.306,49.209,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,10,6,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.027,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:41 AM,0,1
,Mixed / non conventional,4.00,10.00,6.00,8.00,16.65,0.17,8.20,57.783,43.621,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,11,7,9,0.00,0.00,0.00,0.00,3,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,25.5,8/2/2022 10:20:44 AM,0,1
,Mixed / non conventional,5.00,11.00,7.00,9.00,7.25,2.09,-11.49,23.561,40.833,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,12,8,10,0.00,0.00,0.00,0.00,6,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:50 AM,0,1
,Mixed / non conventional,6.00,12.00,8.00,10.00,7.20,0.26,190.83,15.070,26.298,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,13,9,11,0.00,0.00,0.00,0.00,3,0.000,15,0,0.583,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:20:53 AM,0,1
,Mixed / non conventional,7.00,13.00,9.00,11.00,15.25,0.95,168.68,16.605,13.686,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,14,10,12,0.00,0.00,0.00,0.00,5,0.000,17,0,1.249,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:57 AM,0,1
,Mixed / non conventional,8.00,14.00,10.00,12.00,23.11,1.91,40.94,18.284,9.941,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,15,11,13,0.00,0.00,0.00,0.00,6,0.000,95,1,9.604,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.39,25.5,8/2/2022 10:21:03 AM,0,1
,Mixed / non conventional,9.00,15.00,11.00,13.00,124.92,2.28,87.66,13.799,1.388,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,16,12,14,0.00,0.00,0.00,0.00,6,0.000,38,0,27.144,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.5,8/2/2022 10:21:08 AM,0,1
,Mixed / non conventional,0.00,9.00,3.00,6.00,9.14,0.71,-5.82,23.590,48.652,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10,4,7,0.00,0.00,0.00,0.00,3,0.000,1,0,0.028,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:21:11 AM,0,1
,Mixed / non conventional,1.00,10.00,4.00,7.00,8.24,1.50,13.30,18.672,42.738,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,11,5,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:21:17 AM,0,1
,Mixed / non conventional,2.00,11.00,5.00,8.00,13.03,2.32,-157.99,25.976,37.587,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,12,6,9,0.00,0.00,0.00,0.00,6,0.000,1,0,0.038,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,25.5,8/2/2022 10:21:22 AM,0,1
,Mixed / non conventional,3.00,12.00,6.00,9.00,7.96,0.14,-27.75,15.340,36.324,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,13,7,10,0.00,0.00,0.00,0.00,3,0.000,21,1,0.587,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.44,26.0,8/2/2022 10:21:25 AM,0,1
,Mixed / non conventional,4.00,13.00,7.00,10.00,9.81,0.19,104.23,15.842,30.426,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,14,8,11,0.00,0.00,0.00,0.00,3,0.000,37,1,1.229,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.44,25.5,8/2/2022 10:21:29 AM,0,1
,Mixed / non conventional,5.00,14.00,8.00,11.00,9.68,1.74,141.84,5.780,11.260,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,15,9,12,0.00,0.00,0.00,0.00,6,0.000,332,4,29.500,00.000000,00.000000,,22080202,1,0,11.98,0.0,12.41,26.0,8/2/2022 10:21:34 AM,0,1
,Mixed / non conventional,6.00,15.00,9.00,12.00,20.76,0.81,251.02,12.367,11.229,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,16,10,13,0.00,0.00,0.00,0.00,3,0.000,270,3,24.015,00.000000,00.000000,,22080202,1,0,12.01,0.0,12.39,26.0,8/2/2022 10:21:37 AM,0,1
,Mixed / non conventional,0.00,12.00,4.00,8.00,11.93,0.17,-21.12,14.977,31.552,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,13,5,9,0.00,0.00,0.00,0.00,3,0.000,19,1,0.613,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.44,26.0,8/2/2022 10:21:41 AM,0,1
,Mixed / non conventional,1.00,13.00,5.00,9.00,8.62,0.25,-157.40,16.659,48.565,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,14,6,10,0.00,0.00,0.00,0.00,3,0.000,56,3,1.162,00.000000,00.000000,,22080202,1,0,12.04,0.0,12.39,26.0,8/2/2022 10:21:44 AM,0,1
,Mixed / non conventional,2.00,14.00,6.00,10.00,11.43,0.97,158.23,3.675,8.084,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,15,7,11,0.00,0.00,0.00,0.00,3,0.000,377,3,46.633,00.000000,00.000000,,22080202,1,0,11.98,0.0,12.44,25.5,8/2/2022 10:21:47 AM,0,1
,Mixed / non conventional,3.00,15.00,7.00,11.00,13.10,19.35,21.60,7.420,14.240,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,16,8,12,0.00,0.00,0.00,0.00,6,0.000,725,10,50.896,00.000000,00.000000,,22080202,1,0,11.89,0.0,12.37,26.0,8/2/2022 10:21:53 AM,0,1
,Mixed / non conventional,1.00,2.00,0.00,3.00,20.38,6.13,-74.99,135.036,41.622,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,3,1,4,0.00,0.00,0.00,0.00,6,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:21:58 AM,0,1
,Mixed / non conventional,2.00,3.00,1.00,4.00,20.29,5.24,32.19,125.254,38.792,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,4,2,5,0.00,0.00,0.00,0.00,6,0.000,2,0,0.039,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,25.5,8/2/2022 10:22:03 AM,0,1
,Mixed / non conventional,3.00,4.00,2.00,5.00,19.87,3.86,150.61,130.201,41.172,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,5,3,6,0.00,0.00,0.00,0.00,6,0.000,1,0,0.036,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:22:09 AM,0,1
,Mixed / non conventional,4.00,5.00,3.00,6.00,27.72,0.69,117.49,198.966,45.091,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,6,4,7,0.00,0.00,0.00,0.00,4,0.000,1,0,0.031,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:22:12 AM,0,1
,Mixed / non conventional,5.00,6.00,4.00,7.00,16.31,7.73,-73.70,117.182,45.144,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,7,5,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.031,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:22:18 AM,0,1
,Mixed / non conventional,6.00,7.00,5.00,8.00,10.12,4.60,-63.30,71.259,44.241,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,8,6,9,0.00,0.00,0.00,0.00,6,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,26.0,8/2/2022 10:22:23 AM,0,1
,Mixed / non conventional,7.00,8.00,6.00,9.00,98.13,4.60,-281.26,880.226,56.362,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,9,7,10,0.00,0.00,0.00,0.00,6,0.000,2,0,0.030,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:22:29 AM,0,1
,Mixed / non conventional,8.00,9.00,7.00,10.00,0.01,118.37,298.27,1.803,1022.001,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,10,8,11,0.00,0.00,0.00,0.00,6,0.000,3,3,0.003,00.000000,00.000000,,22080202,1,0,11.95,0.0,12.39,26.0,8/2/2022 10:22:34 AM,0,1
,Mixed / non conventional,9.00,10.00,8.00,11.00,74.24,4.69,105.88,691.081,58.485,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,11,9,12,0.00,0.00,0.00,0.00,6,0.000,2,0,0.028,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:22:39 AM,0,1
,Mixed / non conventional,10.00,11.00,9.00,12.00,10.82,2.17,137.79,71.099,41.271,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,12,10,13,0.00,0.00,0.00,0.00,6,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:22:45 AM,0,1
,Mixed / non conventional,11.00,12.00,10.00,13.00,26.25,3.92,126.29,13.661,3.270,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,13,11,14,0.00,0.00,0.00,0.00,6,0.000,2,0,0.657,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,26.0,8/2/2022 10:22:50 AM,0,1
,Mixed / non conventional,12.00,13.00,11.00,14.00,367.66,0.52,-12.26,40.653,0.695,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13,14,12,15,0.00,0.00,0.00,0.00,3,0.000,2,0,2.691,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,26.0,8/2/2022 10:22:53 AM,0,1
,Mixed / non conventional,13.00,14.00,12.00,15.00,14927.00,2.33,-55.55,234.092,0.099,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14,15,13,16,0.00,0.00,0.00,0.00,6,0.000,3,0,30.579,00.000000,00.000000,,22080202,1,0,12.16,0.0,12.39,26.0,8/2/2022 10:22:59 AM,0,1
,Mixed / non conventional,2.00,4.00,0.00,6.00,10.22,4.17,-126.62,31.449,38.657,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,5,1,7,0.00,0.00,0.00,0.00,6,0.000,2,0,0.039,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.39,26.0,8/2/2022 10:23:04 AM,0,1
,Mixed / non conventional,3.00,5.00,1.00,7.00,8.20,0.95,-64.53,27.612,42.313,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,6,2,8,0.00,0.00,0.00,0.00,3,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:23:07 AM,0,1
,Mixed / non conventional,4.00,6.00,2.00,8.00,9.02,0.97,-39.85,29.853,41.611,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,7,3,9,0.00,0.00,0.00,0.00,4,0.000,1,0,0.035,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:23:11 AM,0,1
,Mixed / non conventional,5.00,7.00,3.00,9.00,15.29,4.78,8.02,53.057,43.595,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,8,4,10,0.00,0.00,0.00,0.00,6,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,26.0,8/2/2022 10:23:16 AM,0,1
,Mixed / non conventional,6.00,8.00,4.00,10.00,19.06,2.25,-12.00,79.996,52.755,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,9,5,11,0.00,0.00,0.00,0.00,6,0.000,1,0,0.025,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,26.0,8/2/2022 10:23:22 AM,0,1
,Mixed / non conventional,7.00,9.00,5.00,11.00,7.93,1.35,22.01,34.077,54.011,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,10,6,12,0.00,0.00,0.00,0.00,6,0.000,1,0,0.024,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.5,8/2/2022 10:23:27 AM,0,1
,Mixed / non conventional,8.00,10.00,6.00,12.00,8.46,1.88,229.36,37.811,56.161,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,11,7,13,0.00,0.00,0.00,0.00,6,0.000,1,0,0.024,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,26.5,8/2/2022 10:23:32 AM,0,1
,Mixed / non conventional,9.00,11.00,7.00,13.00,15.87,1.44,141.75,63.540,50.318,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,12,8,14,0.00,0.00,0.00,0.00,6,0.000,1,0,0.026,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.5,8/2/2022 10:23:38 AM,0,1
,Mixed / non conventional,10.00,12.00,8.00,14.00,24.17,3.32,56.99,13.599,7.070,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,13,9,15,0.00,0.00,0.00,0.00,6,0.000,5,0,0.641,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,26.5,8/2/2022 10:23:43 AM,0,1
,Mixed / non conventional,11.00,13.00,9.00,15.00,155.04,0.61,5.41,16.929,1.372,500,12.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,14,10,16,0.00,0.00,0.00,0.00,3,0.000,2,0,1.353,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,26.0,8/2/2022 10:23:46 AM,0,1
,Mixed / non conventional,3.00,6.00,0.00,9.00,8.44,0.77,-163.28,19.031,42.494,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,1,10,0.00,0.00,0.00,0.00,3,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:23:50 AM,0,1
,Mixed / non conventional,4.00,7.00,1.00,10.00,8.35,0.88,-42.32,18.592,41.949,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,2,11,0.00,0.00,0.00,0.00,3,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.44,26.0,8/2/2022 10:23:53 AM,0,1
,Mixed / non conventional,5.00,8.00,2.00,11.00,13.47,0.70,14.34,37.594,52.592,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,3,12,0.00,0.00,0.00,0.00,3,0.000,1,0,0.025,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:23:56 AM,0,1
,Mixed / non conventional,6.00,9.00,3.00,12.00,9.00,1.70,273.46,24.854,52.052,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,4,13,0.00,0.00,0.00,0.00,6,0.000,1,0,0.025,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.5,8/2/2022 10:24:02 AM,0,1
,Mixed / non conventional,7.00,10.00,4.00,13.00,10.41,0.78,136.07,24.089,43.609,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,5,14,0.00,0.00,0.00,0.00,3,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.44,26.0,8/2/2022 10:24:05 AM,0,1
,Mixed / non conventional,8.00,11.00,5.00,14.00,9.66,0.38,-20.75,26.063,50.856,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,6,15,0.00,0.00,0.00,0.00,3,0.000,1,0,0.026,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:24:08 AM,0,1
,Mixed / non conventional,9.00,12.00,6.00,15.00,22.02,0.96,135.99,14.901,12.754,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,7,16,0.00,0.00,0.00,0.00,3,0.000,8,0,0.596,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.44,26.0,8/2/2022 10:24:12 AM,0,1
,Mixed / non conventional,4.00,8.00,0.00,12.00,12.17,2.72,164.98,22.889,47.259,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,9,1,13,0.00,0.00,0.00,0.00,6,0.000,1,0,0.029,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,26.0,8/2/2022 10:24:17 AM,0,1
,Mixed / non conventional,5.00,9.00,1.00,13.00,8.73,0.13,-55.12,18.033,51.943,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,10,2,14,0.00,0.00,0.00,0.00,3,0.000,1,0,0.026,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:24:20 AM,0,1
,Mixed / non conventional,6.00,10.00,2.00,14.00,11.33,0.77,-108.52,19.374,42.965,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,11,3,15,0.00,0.00,0.00,0.00,3,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:24:24 AM,0,1
,Mixed / non conventional,7.00,11.00,3.00,15.00,12.86,0.83,38.09,20.493,40.053,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,12,4,16,0.00,0.00,0.00,0.00,3,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:24:27 AM,0,1
